PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Warehouse,CD-1,1,140520,61.0,2225512.0,57.73,48,1,1,0
Large Office,CD-7,5,154029,95.0,4636396.5,58.88,30,1,1,0
Other,CD-5,3,161789,,6963616.5,49.28,11,1,1,0
Medical Office,CD-5,3,63909,,4765753.5,33.22,11,0,1,0
Warehouse,CD-5,2,53472,,971155.625,34.0,68,1,1,0
Warehouse,CD-1,1,50417,14.0,1847401.0,58.67,36,1,1,0
Restaurant,CD-7,1,43728,,11508035.0,611.19,116,1,0,0
Medical Office,CD-5,3,133298,21.0,15640994.0,295.48,55,1,1,0
Retail Store,CD-5,2,168619,78.0,6455828.5,91.1,51,1,1,0
Mixed Use Property,CD-4,5,251827,,47102428.0,1156.45,14,1,1,0
Large Office,CD-7,4,175885,91.0,6486377.5,45.22,16,0,1,0
Warehouse,CD-2,2,104786,93.0,1028376.875,23.86,47,1,1,0
Other,CD-2,1,53040,,1770027.5,49.9,16,1,1,0
Other,CD-2,1,110689,,2339814.25,107.83,43,1,1,0
Small- and Mid-Sized Office,CD-2,1,53620,86.0,2058955.25,22.12,68,1,1,0
Small- and Mid-Sized Office,CD-2,1,50008,62.0,3202213.0,65.3,78,1,1,0
Large Office,CD-7,4,291176,98.0,6657348.5,49.74,7,1,1,0
Warehouse,CD-2,1,50832,63.0,2551022.25,107.16,59,1,1,0
Refrigerated Warehouse,CD-2,1,76354,70.0,2843033.5,20.29,45,1,1,0
Warehouse,CD-2,1,98480,65.0,2831565.5,39.5,60,1,1,0
Mixed Use Property,CD-4,2,53002,75.0,3441643.25,64.0,112,1,1,0
Mixed Use Property,CD-4,3,175918,,22530168.0,640.71,8,1,1,0
Other,CD-3,3,169785,,19155416.0,406.02,96,1,1,0
Large Office,CD-7,11,124721,58.0,13898181.0,365.79,45,1,1,0
Small- and Mid-Sized Office,CD-7,7,94002,70.0,5662234.0,39.47,46,0,1,0
Warehouse,CD-2,1,93020,60.0,1252323.875,8.73,42,0,1,0
Other,CD-7,1,23000,,711118.375,25.74,70,1,1,0
Supermarket / Grocery Store,CD-2,1,61053,32.0,13133225.0,306.5,14,1,1,0
Small- and Mid-Sized Office,CD-2,5,78920,88.0,2830674.75,19.73,112,0,1,0
Small- and Mid-Sized Office,CD-2,7,99440,64.0,6606832.5,134.69,110,1,1,0
Small- and Mid-Sized Office,CD-2,6,73260,82.0,2853189.5,19.89,109,0,1,0
Small- and Mid-Sized Office,CD-7,4,69817,87.0,2178074.5,76.8,116,1,1,1
Small- and Mid-Sized Office,CD-7,4,84750,,2094724.625,26.04,116,1,1,0
Small- and Mid-Sized Office,CD-7,6,75496,,3570161.75,24.89,116,0,1,0
Large Office,CD-7,4,164380,79.0,7655751.0,130.31,116,1,1,1
Large Office,CD-2,7,160580,98.0,4336187.5,99.59,109,1,1,1
Other,CD-2,3,67755,,1904480.0,13.28,110,0,1,0
Mixed Use Property,CD-2,3,56700,37.0,2371575.0,31.58,106,1,1,0
Warehouse,CD-2,1,82852,83.0,2153603.5,65.56,94,1,1,0
Other,CD-2,2,76442,,3978277.0,132.6,63,1,1,0
Distribution Center,CD-2,2,92792,56.0,3155496.0,74.18,54,1,1,0
Other,CD-2,2,125519,,2244317.0,15.65,75,0,1,0
Large Office,CD-2,4,129000,80.0,4374646.0,30.5,116,0,1,0
Warehouse,CD-2,1,78814,69.0,861972.875,16.48,62,1,1,0
Small- and Mid-Sized Office,CD-2,4,58970,,1776411.75,41.18,112,1,1,0
Distribution Center,CD-2,6,75600,15.0,2688675.75,18.74,106,0,1,0
Distribution Center,CD-2,4,56270,,1056782.125,7.37,109,0,1,0
Small- and Mid-Sized Office,CD-2,4,66842,31.0,5608600.5,138.35,112,1,1,0
Small- and Mid-Sized Office,CD-2,6,75288,81.0,2891605.0,20.18,107,1,1,0
Large Office,CD-2,7,184322,81.0,9722890.0,67.78,112,0,1,0
Large Office,CD-2,7,287853,43.0,25567108.0,182.14,7,1,1,0
Small- and Mid-Sized Office,CD-2,2,64512,53.0,5968153.5,180.76,102,1,1,0
Mixed Use Property,CD-2,6,286000,,63835192.0,445.62,7,1,1,0
Warehouse,CD-2,7,144050,26.0,3929371.0,98.43,90,1,1,0
Small- and Mid-Sized Office,CD-2,3,60592,16.0,5049446.5,47.25,86,1,1,0
Large Office,CD-2,6,1380959,79.0,74130576.0,810.7,104,1,1,0
Retail Store,CD-2,1,107930,57.0,7221482.5,100.42,23,1,1,0
Warehouse,CD-2,1,99084,83.0,1618110.375,49.25,90,1,1,0
Distribution Center,CD-1,1,72719,28.0,2581741.75,42.74,63,1,1,0
Small- and Mid-Sized Office,CD-3,4,76624,91.0,2773647.5,33.41,86,1,1,0
Small- and Mid-Sized Office,CD-4,6,91706,2.0,8570571.0,59.75,15,0,1,0
Medical Office,CD-7,5,129093,6.0,19248732.0,477.85,8,1,1,0
Large Office,CD-1,5,138106,41.0,8381834.5,58.43,25,0,1,0
Retail Store,CD-2,1,56572,66.0,2409429.0,67.29,43,1,1,0
Medical Office,CD-3,0,225982,53.0,20560622.0,692.12,12,0,1,1
Mixed Use Property,CD-7,0,516407,31.0,39403320.0,734.72,10,1,1,0
Large Office,CD-2,11,312512,,25747022.0,185.39,16,1,1,0
Large Office,CD-7,42,1592914,97.0,56498868.0,481.06,11,1,1,1
Small- and Mid-Sized Office,CD-7,6,97720,,2478025.25,17.28,90,0,1,0
Medical Office,CD-3,10,422503,46.0,17254810.0,190.1,31,0,1,1
Medical Office,CD-3,7,94500,68.0,5792926.0,40.38,29,0,1,0
Retail Store,CD-1,1,94713,79.0,5417598.0,94.74,11,1,1,0
Medical Office,CD-7,9,302902,58.0,14751117.0,130.32,8,1,1,0
Medical Office,CD-3,19,319911,50.0,15067340.0,357.39,43,0,1,1
Large Office,CD-7,6,205521,94.0,8138616.5,282.46,116,1,1,1
Small- and Mid-Sized Office,CD-7,6,56700,55.0,3065954.5,21.37,116,0,1,0
Small- and Mid-Sized Office,CD-2,4,72000,89.0,2729167.75,23.48,91,1,1,0
Large Office,CD-7,4,191146,93.0,5101504.5,35.56,16,0,1,0
Other,CD-1,3,68763,,9029489.0,310.19,15,1,1,0
Other,CD-2,1,102133,,20725996.0,530.62,22,1,1,0
Large Office,CD-7,14,362046,86.0,15725581.0,116.95,8,1,1,0
Other,CD-7,2,81336,,13085297.0,270.17,22,1,1,0
Large Office,CD-7,23,538933,90.0,16020642.0,111.69,15,0,1,0
Other,CD-7,6,275982,,5233553.5,36.49,33,0,1,0
Small- and Mid-Sized Office,CD-7,5,98668,91.0,4391348.0,30.61,34,0,1,0
Large Office,CD-2,1,158931,12.0,8751704.0,98.54,9,1,1,0
Large Office,CD-7,1,105100,1.0,22078064.0,357.86,38,1,1,0
Supermarket / Grocery Store,CD-7,1,57176,31.0,12525174.0,0.0,8,0,0,0
Retail Store,CD-7,1,50660,51.0,2661488.0,60.7,38,1,1,0
Small- and Mid-Sized Office,CD-7,2,61929,59.0,2203026.5,55.73,79,1,1,0
Large Office,CD-7,4,165111,1.0,25478086.0,177.62,16,0,1,0
Small- and Mid-Sized Office,CD-7,3,20565,65.0,802312.5,5.59,91,0,1,0
Large Office,CD-7,5,159937,63.0,7857972.5,54.78,16,0,1,0
Large Office,CD-7,5,183964,56.0,14856199.0,103.57,8,0,1,0
Large Office,CD-7,5,208210,95.0,5514308.5,116.74,30,1,1,0
Large Office,CD-7,7,277486,63.0,12729858.0,88.74,30,0,1,0
Large Office,CD-7,3,187130,77.0,10053489.0,70.09,23,0,1,0
Large Office,CD-7,5,251044,99.0,17186624.0,119.81,16,0,1,0
Warehouse,CD-7,5,154330,81.0,1262235.25,8.8,104,0,1,0
Large Office,CD-7,6,108245,,4515180.5,50.17,98,0,1,1
Large Office,CD-7,6,167860,70.0,6797647.0,47.39,111,0,1,0
Large Office,CD-7,6,112560,86.0,4946798.5,97.82,106,1,1,0
Retail Store,CD-7,6,86204,89.0,3241917.0,69.02,106,1,1,0
Warehouse,CD-2,2,145158,51.0,8384523.0,119.46,31,1,1,0
Large Office,CD-2,2,112896,66.0,10287986.0,157.48,65,1,1,0
Distribution Center,CD-2,1,110613,95.0,1015060.188,7.08,56,0,1,0
Warehouse,CD-2,4,149881,97.0,2417401.25,95.86,65,1,1,0
Warehouse,CD-2,3,98220,12.0,6468090.0,75.29,65,1,1,0
Distribution Center,CD-2,1,84420,55.0,2848317.25,19.86,46,0,1,0
Distribution Center,CD-2,1,73335,,5197118.0,155.74,55,1,1,0
Distribution Center,CD-2,2,56876,,1791715.625,48.5,88,1,1,0
Warehouse,CD-2,2,61200,16.0,4912143.0,178.62,85,1,1,0
Distribution Center,CD-2,1,111908,87.0,1555420.25,34.14,29,1,1,0
Other,CD-2,2,63644,,6858533.5,168.5,30,1,1,0
Mixed Use Property,CD-2,2,108753,,3639670.25,25.37,86,0,1,0
Supermarket / Grocery Store,CD-6,1,141890,91.0,16865978.0,293.56,46,1,1,0
Small- and Mid-Sized Office,CD-6,4,92092,5.0,4817062.0,33.58,15,0,1,0
Warehouse,CD-7,3,56259,,2346571.5,86.9,42,1,1,0
Other,CD-4,6,143439,,25631512.0,710.7,10,1,1,0
Large Office,CD-6,4,202623,73.0,8873485.0,61.86,8,0,1,0
Small- and Mid-Sized Office,CD-6,2,77174,33.0,5481549.0,38.21,16,0,1,0
Large Office,CD-7,5,110524,57.0,6859198.0,47.82,18,0,1,0
Mixed Use Property,CD-3,5,287224,,21042926.0,314.43,8,1,1,0
Laboratory,CD-3,4,115748,,36436388.0,1154.79,17,1,1,0
Large Office,CD-7,7,241875,88.0,8655604.0,68.06,16,1,1,0
Large Office,CD-7,5,102930,85.0,4750799.0,65.03,42,1,1,0
Small- and Mid-Sized Office,CD-7,3,76893,,12029600.0,260.13,114,1,1,0
Large Office,CD-7,8,150000,65.0,9343428.0,119.93,41,1,1,0
Large Office,CD-7,7,274362,82.0,16540550.0,147.82,63,1,1,0
Large Office,CD-7,15,378002,85.0,17750994.0,246.83,33,1,1,0
Large Office,CD-7,11,169020,83.0,11480494.0,346.62,53,1,1,1
Other,CD-7,33,429405,98.0,274682208.0,1921.82,35,1,1,0
Large Office,CD-7,76,1952220,86.0,92937640.0,882.56,31,1,1,0
Large Office,CD-7,19,383515,90.0,15878689.0,110.7,35,0,1,0
Medical Office,CD-7,18,363934,68.0,22104512.0,582.28,91,1,1,1
Retail Store,CD-7,4,78920,80.0,8303666.5,109.85,87,1,1,0
Large Office,CD-7,7,131143,93.0,5177270.5,109.16,37,1,1,0
Other,CD-7,0,947987,,46510960.0,324.25,17,0,1,0
Mixed Use Property,CD-3,4,55520,,3686962.25,150.88,108,1,1,0
Large Office,CD-7,10,132998,97.0,3775187.5,133.8,108,0,1,1
Retail Store,CD-7,3,83118,59.0,2443141.5,27.82,76,1,1,0
Retail Store,CD-7,3,77555,39.0,7802205.5,54.4,92,1,1,0
Small- and Mid-Sized Office,CD-7,6,51218,57.0,2886141.5,20.12,107,0,1,0
Large Office,CD-7,29,489182,43.0,36378588.0,426.39,46,1,1,0
Large Office,CD-7,27,216571,62.0,16246106.0,639.72,87,1,1,1
Large Office,CD-7,13,189175,13.0,19036416.0,132.71,95,0,1,0
Large Office,CD-7,13,293803,25.0,17074142.0,119.03,18,0,1,0
Large Office,CD-7,7,122356,91.0,4585070.5,41.8,106,1,1,0
Small- and Mid-Sized Office,CD-7,3,52298,89.0,1968655.125,13.72,95,0,1,0
Large Office,CD-7,17,116640,75.0,6758565.5,169.06,105,0,1,1
Large Office,CD-3,42,1249055,95.0,37980712.0,264.78,35,0,1,0
Medical Office,CD-3,5,188339,15.0,8523594.0,89.41,28,1,1,0
University,CD-3,2,60122,,690529.5,9.31,100,1,1,0
Small- and Mid-Sized Office,CD-2,6,95000,83.0,4052720.0,31.43,106,1,1,0
Large Office,CD-7,9,224857,79.0,15272491.0,390.67,45,0,1,1
Large Office,CD-2,8,446261,96.0,13568148.0,94.59,18,0,1,0
Other,CD-2,2,58492,,1594422.5,51.56,77,1,1,0
Small- and Mid-Sized Office,CD-2,6,62370,30.0,4353025.0,30.35,109,0,1,0
Warehouse,CD-2,1,73296,83.0,2356376.75,73.58,56,1,1,0
Other,CD-2,4,99122,,14469228.0,179.45,72,1,1,0
Other,CD-2,1,66133,,6345009.5,89.94,31,1,1,0
Warehouse,CD-2,2,115668,,3534690.75,111.23,64,1,1,0
Other,CD-2,1,141686,,6673138.0,46.52,46,0,1,0
Small- and Mid-Sized Office,CD-2,1,93610,95.0,6235947.0,152.28,66,1,1,0
Large Office,CD-2,2,156188,67.0,6843855.0,60.92,43,1,1,0
Warehouse,CD-2,1,115620,11.0,1951856.25,13.61,50,0,1,0
Large Office,CD-2,5,238148,93.0,10775646.0,75.12,41,0,1,0
Distribution Center,CD-2,1,71718,100.0,151754.2969,1.06,47,0,1,0
Warehouse,CD-1,1,55450,31.0,4345698.0,131.64,47,1,1,0
Distribution Center,CD-1,1,54880,32.0,2763597.0,89.53,37,1,1,0
Retail Store,CD-1,1,102500,81.0,7305474.0,158.55,24,1,1,0
Other,CD-4,6,361398,,8915523.0,119.92,14,1,1,0
Supermarket / Grocery Store,CD-2,1,50785,57.0,7439009.0,195.43,53,1,1,0
Small- and Mid-Sized Office,CD-1,3,85126,1.0,37951708.0,166.13,87,1,1,0
Other,CD-5,5,303255,,11077140.0,99.14,16,1,1,0
Distribution Center,CD-2,1,411584,43.0,15091579.0,455.39,30,1,1,0
Mixed Use Property,CD-7,4,73320,,1141189.75,29.16,114,1,1,0
Large Office,CD-7,4,242686,77.0,9683979.0,67.51,8,0,1,0
Small- and Mid-Sized Office,CD-2,6,95760,83.0,5392617.5,74.45,116,1,1,0
Warehouse,CD-2,1,179413,57.0,3459543.0,24.12,70,0,1,0
Warehouse,CD-2,1,65288,,605971.1875,4.22,99,0,1,0
Warehouse,CD-1,1,170632,98.0,602245.0,4.2,50,0,1,0
Large Office,CD-7,10,381511,87.0,11410228.0,106.12,22,1,1,0
Large Office,CD-3,17,413264,91.0,13631141.0,95.03,7,0,1,0
Mixed Use Property,CD-4,6,122400,63.0,4865551.5,79.39,7,1,1,0
Retail Store,CD-4,2,93803,,5453438.5,110.41,60,1,1,0
Warehouse,CD-2,2,123000,47.0,3004271.0,20.94,50,0,1,0
Medical Office,CD-3,5,275130,70.0,9941308.0,69.3,13,0,1,0
Warehouse,CD-2,1,60448,90.0,1052244.75,27.24,38,1,1,0
Hospital,CD-3,14,1765970,54.0,291614432.0,12307.16,22,1,1,1
Other,CD-7,4,62600,,11147342.0,406.04,88,1,1,0
Mixed Use Property,CD-3,4,77412,,2655387.5,20.85,12,1,1,0
Medical Office,CD-3,5,289419,59.0,12731388.0,133.5,26,1,1,0
Other,CD-5,5,90266,18.0,7771933.5,54.18,29,0,1,0
Warehouse,CD-6,4,87332,87.0,1165598.875,14.49,12,1,1,0
Hotel,CD-3,6,150545,28.0,13410041.0,453.76,13,1,1,0
Other,CD-7,5,141718,,19085174.0,341.23,17,1,1,0
Hotel,CD-7,5,111856,8.0,9444484.0,278.97,8,1,1,0
Warehouse,CD-3,4,132828,83.0,1083729.625,7.56,28,0,1,0
Warehouse,CD-1,1,70400,1.0,13962749.0,284.01,46,1,1,0
Retail Store,CD-5,1,101830,60.0,10713006.0,295.12,21,1,1,0
University,CD-3,4,114000,,7575080.0,109.71,42,1,1,0
Warehouse,CD-1,1,152365,88.0,1069749.75,13.07,51,1,1,0
Medical Office,CD-3,6,320946,57.0,25471308.0,189.85,106,1,1,0
Retail Store,CD-2,1,74178,,5402181.0,134.82,58,1,1,0
Warehouse,CD-5,4,80360,96.0,686019.1875,16.27,29,1,1,0
Supermarket / Grocery Store,CD-3,3,119190,71.0,10077532.0,267.0,20,1,1,0
Other,CD-2,2,51856,,1938613.125,13.51,8,0,1,0
Mixed Use Property,CD-2,3,66138,3.0,7070998.5,49.29,95,0,1,0
Large Office,CD-4,3,113944,1.0,17880184.0,128.73,56,1,1,0
Low-Rise Multifamily,CD-4,3,93079,32.0,1997181.5,25.6,16,1,1,0
Worship Facility,CD-4,2,22220,90.0,778355.8125,31.74,59,1,1,0
Mixed Use Property,CD-2,1,44700,,2042771.0,30.52,54,1,1,0
Warehouse,CD-2,1,44100,1.0,1618916.375,11.29,40,0,1,0
Distribution Center,CD-2,1,27800,13.0,1224186.25,24.39,51,1,1,0
Warehouse,CD-2,1,46340,3.0,2564004.0,17.87,15,0,1,0
Small- and Mid-Sized Office,CD-3,3,38460,69.0,1950713.25,36.02,106,1,1,0
Worship Facility,CD-6,2,21022,54.0,945245.625,43.84,94,1,1,0
Distribution Center,CD-2,1,48001,49.0,2143650.75,86.46,49,1,1,0
Warehouse,CD-2,1,26380,,509124.0,3.58,37,1,1,0
Warehouse,CD-2,1,37351,10.0,2559461.75,77.04,47,1,1,0
Warehouse,CD-2,1,30375,73.0,345866.6875,2.41,35,0,1,0
Warehouse,CD-2,1,30004,,369291.5,2.57,37,0,1,0
Other,CD-4,3,39971,,10960107.0,416.07,88,1,1,0
Worship Facility,CD-6,2,33589,90.0,509836.1875,21.93,102,1,1,0
Small- and Mid-Sized Office,CD-6,3,43500,46.0,3220635.25,22.65,37,1,1,0
Small- and Mid-Sized Office,CD-6,2,28492,12.0,1896298.875,37.78,38,1,1,0
Small- and Mid-Sized Office,CD-6,3,22325,,1401315.875,9.77,53,0,1,0
Restaurant,CD-6,3,22719,,1358519.0,9.47,39,0,1,0
Laboratory,CD-7,2,44588,,7251589.0,50.55,70,0,1,0
Retail Store,CD-3,2,147545,69.0,6787070.0,169.75,99,1,1,0
Other,CD-4,2,21462,,1114384.625,7.77,93,0,1,0
Other,CD-6,2,28072,,1362523.0,63.48,99,1,1,0
Restaurant,CD-7,2,31020,,4970047.0,207.6,61,1,1,0
Small- and Mid-Sized Office,CD-7,2,21600,,1636649.125,29.62,99,1,1,0
Small- and Mid-Sized Office,CD-7,5,61825,59.0,4322873.0,141.2,42,1,1,0
Small- and Mid-Sized Office,CD-7,3,64630,96.0,1408291.375,9.82,74,0,1,0
Worship Facility,CD-7,2,20920,15.0,1042108.5,42.19,68,1,1,0
Worship Facility,CD-1,2,22128,94.0,608359.6875,25.24,90,1,1,0
Retail Store,CD-5,1,48139,98.0,859236.625,24.02,48,1,1,0
Worship Facility,CD-1,2,21364,86.0,965651.125,43.8,67,1,1,0
University,CD-7,2,28923,,439311.9063,15.27,24,1,1,0
University,CD-7,3,21600,,323739.4063,6.33,88,1,1,0
Retail Store,CD-4,1,25735,82.0,1169394.875,18.1,20,1,1,0
Retail Store,CD-4,2,25862,20.0,4801472.0,154.17,60,1,1,0
Retail Store,CD-4,2,49965,82.0,3377209.75,29.54,13,1,1,0
Small- and Mid-Sized Office,CD-7,2,20028,95.0,511797.4063,14.22,87,0,1,1
Small- and Mid-Sized Office,CD-7,7,23622,100.0,552007.5,9.95,116,1,1,0
Small- and Mid-Sized Office,CD-7,3,23563,67.0,883197.6875,6.16,114,0,1,0
Mixed Use Property,CD-7,3,28600,,1062722.625,24.25,113,1,1,0
Mixed Use Property,CD-7,2,38539,55.0,2186018.5,15.24,38,0,1,0
Small- and Mid-Sized Office,CD-7,5,26840,24.0,1989287.0,13.87,110,0,1,0
Retail Store,CD-7,2,46800,86.0,1245187.5,8.68,110,0,1,0
Small- and Mid-Sized Office,CD-7,3,63990,51.0,2067352.5,14.63,37,1,1,0
Small- and Mid-Sized Office,CD-7,3,28800,50.0,1345025.75,28.81,108,1,1,0
Small- and Mid-Sized Office,CD-7,3,33552,75.0,1696978.75,60.43,62,1,1,0
Retail Store,CD-7,2,26270,32.0,1560461.75,33.78,85,1,1,0
Small- and Mid-Sized Office,CD-7,3,57620,50.0,2385395.0,16.63,90,0,1,0
Mixed Use Property,CD-7,2,28696,,418348.5,2.92,62,0,1,0
Hotel,CD-7,5,57800,87.0,2443065.25,66.29,26,1,1,0
Other,CD-7,2,31890,2.0,1858224.625,12.95,61,0,1,0
Small- and Mid-Sized Office,CD-7,2,44098,53.0,1441900.5,41.69,91,0,1,1
Restaurant,CD-7,3,22381,,3532966.5,126.78,93,1,1,0
Laboratory,CD-7,4,49249,,33268410.0,1266.06,90,1,1,0
Retail Store,CD-7,1,24825,,439521.0938,11.14,91,1,1,0
Medical Office,CD-7,4,26670,51.0,1553208.375,10.83,64,1,1,0
Other,CD-7,2,37740,,3095882.0,86.02,94,1,1,0
Small- and Mid-Sized Office,CD-7,1,23752,,1067153.75,30.33,51,1,1,0
Hotel,CD-7,4,44416,61.0,2669564.25,72.78,49,1,1,0
Mixed Use Property,CD-7,2,33792,,2547848.0,30.6,10,1,1,0
Worship Facility,CD-6,2,45991,77.0,1145535.75,36.43,88,1,1,0
Residence Hall,CD-4,3,21499,85.0,605130.6875,4.22,95,0,1,0
Small- and Mid-Sized Office,CD-4,2,20384,16.0,1791071.375,13.91,27,1,1,0
Retail Store,CD-4,2,39265,,5238803.0,47.12,60,1,1,0
Retail Store,CD-4,2,54284,18.0,6778694.0,63.61,60,1,1,0
Retail Store,CD-4,1,23409,67.0,2545405.0,28.41,60,1,1,0
Retail Store,CD-4,1,63153,,4644178.0,47.66,19,1,1,0
Hotel,CD-4,2,24100,91.0,1587454.75,46.57,55,1,1,0
Restaurant,CD-7,3,33600,,4475650.0,101.99,93,1,1,0
Other,CD-7,4,32356,81.0,1857154.75,74.92,89,0,1,1
Hotel,CD-7,7,61180,24.0,3993913.25,126.3,56,1,1,0
Small- and Mid-Sized Office,CD-7,5,43506,51.0,3460275.5,99.15,38,1,1,0
Worship Facility,CD-6,2,23931,88.0,496477.3125,18.66,106,1,1,0
Worship Facility,CD-6,2,21393,57.0,845961.375,32.64,68,1,1,0
Mixed Use Property,CD-2,2,47560,80.0,1132489.625,33.23,26,1,1,0
Senior Care Community,CD-3,6,62334,100.0,1076733.25,34.98,10,1,1,0
Residence Hall,CD-4,3,20960,,1500309.75,64.51,86,1,1,0
University,CD-7,3,28800,,717056.375,8.45,106,1,1,0
K-12 School,CD-7,2,21600,72.0,1261536.75,38.87,59,1,1,0
K-12 School,CD-7,3,22860,43.0,931148.625,6.49,21,0,1,0
Worship Facility,CD-4,1,26366,88.0,888031.875,32.22,44,1,1,0
Worship Facility,CD-2,2,21732,2.0,860364.1875,23.59,51,1,1,0
Mixed Use Property,CD-6,1,21060,,350264.5938,6.69,71,1,1,0
Mixed Use Property,CD-6,4,20539,,1678458.75,37.31,56,1,1,0
Retail Store,CD-4,3,32960,71.0,813641.0,5.67,116,0,1,0
Other,CD-4,3,29636,,688641.8125,4.8,95,0,1,0
Hotel,CD-4,3,20571,72.0,716279.6875,4.99,86,0,1,0
Worship Facility,CD-4,2,47992,17.0,3040195.5,118.37,90,1,1,0
Residence Hall,CD-4,3,28572,16.0,2717863.25,89.57,23,1,1,0
Residence Hall,CD-3,15,115775,94.0,2882489.75,20.09,34,0,1,0
Worship Facility,CD-4,2,31386,52.0,1128179.125,27.14,16,1,1,0
Small- and Mid-Sized Office,CD-4,2,84116,68.0,2641681.75,20.08,4,1,1,0
Hotel,CD-7,9,104000,8.0,8690648.0,355.8,91,1,1,1
Senior Care Community,CD-2,3,78374,98.0,3321035.75,23.15,35,0,1,0
Mixed Use Property,CD-6,2,38784,,1841154.25,26.11,9,1,1,0
Other,CD-2,2,41790,,2177075.0,33.37,47,1,1,0
Small- and Mid-Sized Office,CD-7,5,39960,77.0,2178690.5,49.98,116,1,1,0
Warehouse,CD-7,5,33300,,90558.70313,0.63,116,0,1,0
Hotel,CD-7,11,36240,98.0,2147968.25,120.91,90,1,1,1
Other,CD-7,3,39320,,3042875.5,145.48,94,1,1,1
Other,CD-7,5,41536,,2735166.0,19.07,108,0,1,0
Hotel,CD-7,6,35820,94.0,3321603.0,130.58,107,1,1,0
K-12 School,CD-1,2,33462,76.0,3987215.5,185.23,94,1,1,0
K-12 School,CD-1,3,49744,98.0,2096835.5,89.29,51,1,1,0
Worship Facility,CD-1,2,37816,60.0,1411305.5,43.45,93,1,1,0
Mixed Use Property,CD-1,2,23315,,1354000.625,35.04,90,1,1,0
Mixed Use Property,CD-1,2,20700,,4265815.0,188.67,86,1,1,0
Other,CD-1,1,41521,,3343550.0,100.21,68,1,1,0
Supermarket / Grocery Store,CD-1,2,25762,100.0,1906384.875,13.29,70,0,1,0
Other,CD-1,1,33334,,6118300.5,210.3,32,1,1,0
Small- and Mid-Sized Office,CD-1,3,43387,60.0,2686765.0,34.15,35,1,1,0
Mixed Use Property,CD-5,1,39350,,267135.0938,1.86,37,0,1,0
Other,CD-5,1,22405,,3498214.75,134.57,67,1,1,0
Warehouse,CD-2,1,37500,36.0,1811506.375,13.16,31,1,1,0
Medical Office,CD-3,2,39000,25.0,2615247.75,33.92,26,1,1,0
Other,CD-1,1,22180,,5089083.0,147.0,92,1,1,0
Distribution Center,CD-2,1,25920,,1219744.75,12.48,47,1,1,0
Refrigerated Warehouse,CD-2,1,25480,,741287.1875,5.17,63,0,1,0
Warehouse,CD-2,2,31000,,2301043.75,19.93,46,1,1,0
Small- and Mid-Sized Office,CD-2,1,29740,57.0,1467060.25,19.82,55,1,1,0
Distribution Center,CD-2,1,23236,,433871.0,13.02,62,1,1,0
Small- and Mid-Sized Office,CD-2,3,38075,,1921801.25,19.04,7,1,1,0
Small- and Mid-Sized Office,CD-3,2,39170,81.0,2130673.75,63.06,46,1,1,0
Other,CD-3,1,36070,,1441665.375,10.05,39,0,1,0
Other,CD-2,2,20047,,117438.3984,0.82,53,0,1,0
Retail Store,CD-2,1,20000,75.0,557863.6875,3.89,102,0,1,0
Warehouse,CD-2,2,32400,91.0,248616.0,1.73,61,0,1,0
Supermarket / Grocery Store,CD-7,1,25159,38.0,8905287.0,247.85,54,1,1,0
Other,CD-7,1,27247,,2332996.5,83.1,68,1,1,0
Distribution Center,CD-2,1,26680,92.0,243518.2031,1.7,61,0,1,0
Warehouse,CD-1,1,31521,6.0,1788148.0,61.71,63,1,1,0
Warehouse,CD-2,1,24000,,1257033.5,46.64,65,1,1,0
Self-Storage Facility,CD-2,1,21900,,1333637.625,65.65,64,1,1,0
Warehouse,CD-2,1,38005,,752093.625,10.75,55,1,1,0
Distribution Center,CD-2,1,35579,72.0,1096646.25,39.05,18,1,1,0
Distribution Center,CD-2,1,49950,77.0,238969.7031,1.67,41,0,1,0
Worship Facility,CD-7,2,22612,87.0,731321.8125,31.6,69,1,1,0
Other,CD-5,2,38787,,3204685.5,67.52,40,1,1,0
Self-Storage Facility,CD-5,2,50368,,753275.1875,28.58,28,1,1,0
Warehouse,CD-2,1,30545,12.0,1577040.875,61.53,78,1,1,0
K-12 School,CD-7,3,32691,99.0,971990.3125,29.82,94,1,1,0
Worship Facility,CD-7,2,24227,55.0,1086678.125,47.59,53,1,1,0
Distribution Center,CD-2,1,27000,61.0,651293.3125,18.85,60,1,1,0
Small- and Mid-Sized Office,CD-4,2,21183,99.0,361542.0938,2.52,59,0,1,0
Small- and Mid-Sized Office,CD-4,3,29392,91.0,755618.1875,6.18,55,1,1,0
Large Office,CD-4,5,137738,62.0,4704936.5,32.8,31,0,1,0
Residence Hall,CD-4,3,21118,49.0,1361427.75,39.5,28,1,1,0
Large Office,CD-4,5,206126,98.0,4489661.0,72.26,3,1,1,0
Small- and Mid-Sized Office,CD-4,2,20500,48.0,1326178.125,11.27,116,1,1,0
Senior Care Community,CD-6,2,34636,3.0,12148720.0,480.9,50,1,1,0
Worship Facility,CD-4,2,25521,82.0,605186.3125,15.47,86,1,1,0
K-12 School,CD-4,1,23190,79.0,1705515.25,68.14,30,1,1,0
