PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Other,CD-2,4,72820,,2010454.625,46.26,106,1,1,0
Hotel,CD-7,4,162222,76.0,7946961.0,228.4,20,1,1,0
University,CD-3,3,63330,,3059758.0,74.33,101,1,1,0
Small- and Mid-Sized Office,CD-4,2,96300,,16319835.0,222.02,14,1,1,0
Other,CD-2,1,67356,,7475577.5,204.08,66,1,1,0
Small- and Mid-Sized Office,CD-2,1,54765,,4253369.5,61.21,58,1,1,0
Other,CD-2,5,89821,,1950092.5,100.46,7,1,1,0
University,CD-7,2,52611,,4116871.5,104.26,36,1,1,0
Residence Hall,CD-7,4,139600,89.0,4448582.5,129.39,15,1,1,0
Other,CD-3,6,250981,,13071700.0,422.39,45,1,1,1
Other,CD-7,11,299070,,65336980.0,2055.82,12,1,1,0
Small- and Mid-Sized Office,CD-2,3,64015,21.0,3242077.75,49.58,9,1,1,0
Retail Store,CD-5,1,530039,98.0,27717034.0,723.47,65,1,1,0
Other,CD-5,3,54224,,7265178.0,231.53,52,1,1,0
Retail Store,CD-5,4,124342,76.0,8765978.0,66.3,51,1,1,0
Hospital,CD-4,10,879000,10.0,253832464.0,8145.52,63,1,1,0
Other,CD-5,3,55442,72.0,3191228.25,83.7,20,1,1,0
Self-Storage Facility,CD-3,5,84870,,1381590.125,51.11,106,1,1,0
Warehouse,CD-2,4,114297,61.0,2100097.75,69.44,112,1,1,0
Warehouse,CD-2,1,234144,87.0,6744317.0,297.43,79,1,1,0
Retail Store,CD-1,1,64984,72.0,2944296.25,35.78,50,1,1,0
Retail Store,CD-1,1,67745,37.0,9230223.0,369.14,51,1,1,0
Other,CD-6,3,56000,,1851260.5,59.34,43,1,1,0
Self-Storage Facility,CD-1,2,52088,,1377519.5,48.99,47,1,1,0
Hotel,CD-3,5,123920,79.0,9373179.0,309.6,18,1,1,0
Other,CD-3,1,50000,,7548807.0,225.69,116,1,1,0
Warehouse,CD-7,2,50292,,430473.6875,3.0,90,0,1,0
Hotel,CD-7,7,207656,76.0,11171988.0,338.16,18,1,1,0
Small- and Mid-Sized Office,CD-5,2,91130,,9472358.0,175.77,59,1,1,0
Hotel,CD-5,4,64893,70.0,6197825.0,208.26,48,1,1,0
Small- and Mid-Sized Office,CD-7,3,44558,78.0,1677002.25,28.27,116,1,1,0
Other,CD-2,6,1585960,,59757440.0,892.63,17,1,1,0
Distribution Center,CD-2,2,179161,,9436408.0,96.43,92,1,1,0
Warehouse,CD-2,2,58640,,3928695.25,27.39,51,0,1,0
Other,CD-2,3,1172127,,58761304.0,1246.55,17,1,1,0
Hotel,CD-2,9,168449,64.0,12726789.0,388.37,11,1,1,0
Warehouse,CD-1,4,79600,34.0,2411402.25,16.81,100,0,1,0
Other,CD-5,6,419848,,9134963.0,162.41,8,1,1,0
Mixed Use Property,CD-7,4,110785,,10557910.0,92.91,14,1,1,0
Hotel,CD-7,0,934292,,65047284.0,1638.46,17,1,1,0
Hospital,CD-3,5,597519,34.0,143423024.0,4906.33,26,1,1,0
Warehouse,CD-4,3,75397,91.0,549181.375,9.63,25,1,1,0
Hospital,CD-3,8,1158691,29.0,293090784.0,10734.57,16,1,1,1
Senior Care Community,CD-2,5,102796,,10105379.0,193.94,17,1,1,0
K-12 School,CD-4,2,55653,98.0,1377627.0,72.88,88,1,1,0
Hotel,CD-4,16,106860,49.0,11935719.0,469.57,85,1,1,0
Small- and Mid-Sized Office,CD-5,5,50759,62.0,3147042.0,49.09,44,1,1,0
Worship Facility,CD-4,2,56772,46.0,2439484.75,84.57,64,1,1,0
Worship Facility,CD-4,3,103000,42.0,4854429.5,149.93,64,1,1,0
Other,CD-7,7,128766,,6057410.0,57.21,102,1,1,0
Residence Hall,CD-7,9,107572,76.0,5572503.0,254.87,103,0,1,1
Other,CD-7,15,230880,,62197176.0,433.6,61,0,1,0
Other,CD-7,1,76086,,3267564.0,101.41,43,1,1,0
Medical Office,CD-7,5,190000,1.0,28731502.0,661.04,89,1,1,0
Hotel,CD-7,4,122309,8.0,25453690.0,1060.13,55,1,1,0
Hotel,CD-7,8,254273,29.0,26659244.0,780.84,13,1,1,0
Other,CD-7,2,69400,,14833476.0,301.76,36,1,1,0
Mixed Use Property,CD-7,1,62900,,10394330.0,377.27,116,1,1,0
Small- and Mid-Sized Office,CD-7,4,56500,98.0,1380293.625,44.22,102,0,1,1
Warehouse,CD-2,4,203504,72.0,3785282.5,26.39,8,0,1,0
Large Office,CD-7,3,100734,20.0,9788717.0,68.24,48,0,1,0
Small- and Mid-Sized Office,CD-7,4,77662,57.0,5007401.0,68.19,35,1,1,0
Large Office,CD-7,12,234000,39.0,18661606.0,149.27,38,1,1,0
Large Office,CD-7,25,369996,74.0,24755086.0,172.58,27,0,1,0
Retail Store,CD-7,10,693450,93.0,40062888.0,398.19,91,1,1,1
Large Office,CD-7,33,791396,89.0,40847752.0,313.3,40,1,1,0
Large Office,CD-7,23,747747,90.0,30985420.0,359.11,16,1,1,0
Small- and Mid-Sized Office,CD-7,10,63409,90.0,3444270.0,170.51,90,0,1,1
